regional;idade_cliente;plan_type;Qnt_abandono;sum_recharge;recharge_frequency;rec_online_10;rec_online_35_b5;rec_online_15;sos_rec_5;rec_online_20_b2;chip_pre_rec_10;rec_online_13;rec_online_50_b8;rec_online_30_b4;rec_online_40_b6;sum_services;services_frequency;inter_avulsa;clube;entretenimento;pct_internet_mensal;prezao_diario;prezao_mensal;prezao_semanal;servicos_operadora;venda
0.0;0.48000000000000004;0.0;0.0;0.035304501323918804;0.03636363636363636;0.09090909090909091;0.0;0.0;0.041666666666666664;0.0;0.0;0.0;0.0;0.0;0.0;0.0049324183822000425;0.011185682326621923;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;1
1.0;0.01;1.0;0.13333333333333336;0.07060900264783761;0.01818181818181818;0.0;0.1111111111111111;0.027777777777777776;0.0;0.0;0.0;0.0;0.0;0.08333333333333333;0.0;0.0655105011436889;0.049217002237136466;0.0;0.0;0.0;0.0;0.16417910447761194;0.05555555555555555;0.0;0.0;0
0.75;0.01;1.0;0.33333333333333337;0.01323918799646955;0.00909090909090909;0.030303030303030304;0.0;0.0;0.020833333333333332;0.0;0.0;0.0;0.0;0.0;0.0;0.0016469120399251402;0.0;0.0;0.0;0.0;0.0;0.007462686567164179;0.0;0.0;0.0;1
1.0;0.34;0.0;0.26666666666666666;0.2868490732568403;0.11818181818181817;0.0;0.0;0.0;0.10416666666666666;0.034482758620689655;0.0;0.0;0.18181818181818182;0.5;0.0;0.27343730505302555;0.2550335570469799;0.1476510067114094;0.0;0.1;0.06666666666666667;0.11194029850746269;0.0;0.3333333333333333;0.3611111111111111;1
0.75;0.01;1.0;0.06666666666666667;0.035304501323918804;0.00909090909090909;0.0;0.0;0.0;0.0;0.06896551724137931;0.0;0.0;0.0;0.0;0.0;0.045922229153670203;0.06040268456375839;0.0022371364653243847;0.0;0.0;0.0;0.20149253731343283;0.0;0.0;0.0;1
1.0;0.01;0.0;0.13333333333333336;0.008826125330979701;0.0;0.030303030303030304;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.008675400291120813;0.011185682326621923;0.013422818791946308;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
1.0;0.30000000000000004;1.0;0.06666666666666667;0.015887025595763462;0.00909090909090909;0.0;0.0;0.0;0.020833333333333332;0.0;0.0;0.023809523809523808;0.0;0.0;0.0;0.006729049698482013;0.006711409395973154;0.0;0.0064516129032258064;0.05;0.0;0.0;0.0;0.0;0.027777777777777776;1
0.25;0.32;1.0;0.06666666666666667;0.06619593998234775;0.045454545454545456;0.030303030303030304;0.0;0.1111111111111111;0.020833333333333332;0.0;0.0;0.0;0.0;0.0;0.0;0.0468954044499896;0.02237136465324385;0.0;0.0064516129032258064;0.0;0.0;0.05223880597014925;0.16666666666666666;0.0;0.0;0
1.0;0.01;1.0;0.06666666666666667;0.0264783759929391;0.00909090909090909;0.0;0.0;0.05555555555555555;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02150966936993138;0.026845637583892617;0.0;0.0;0.0;0.0;0.09701492537313433;0.0;0.0;0.0;0
1.0;0.01;0.0;0.06666666666666667;0.09267431597528686;0.0909090909090909;0.15151515151515152;0.0;0.027777777777777776;0.08333333333333333;0.034482758620689655;0.0;0.0;0.0;0.0;0.0;0.030625909752547305;0.035794183445190156;0.0;0.03225806451612903;0.0;0.0;0.08955223880597014;0.0;0.0;0.0;1
0.25;0.52;1.0;0.13333333333333336;0.03089143865842895;0.01818181818181818;0.030303030303030304;0.0;0.0;0.020833333333333332;0.0;0.0;0.0;0.0;0.0;0.0;0.023264711998336452;0.0022371364653243847;0.0;0.0;0.0;0.06666666666666667;0.0;0.05555555555555555;0.0;0.0;1
1.0;0.01;1.0;0.0;0.06266548984995587;0.02727272727272727;0.0;0.0;0.0;0.020833333333333332;0.0;0.0;0.047619047619047616;0.0;0.0;0.1;0.09481389062175087;0.05592841163310962;0.024608501118568233;0.0;0.0;0.0;0.05223880597014925;0.0;0.20512820512820512;0.0;0
0.5;0.19999999999999998;1.0;0.33333333333333337;0.22947925860547222;0.19999999999999998;0.15151515151515152;0.0;0.16666666666666666;0.16666666666666666;0.13793103448275862;0.0;0.0;0.0;0.0;0.0;0.17678519442711585;0.08501118568232661;0.058165548098434;0.0064516129032258064;0.0;0.0;0.0;0.0;0.3076923076923077;0.0;1
0.75;0.63;1.0;0.0;0.035304501323918804;0.01818181818181818;0.030303030303030304;0.0;0.05555555555555555;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02482012892493242;0.03131991051454139;0.0;0.0;0.0;0.0;0.11194029850746269;0.0;0.0;0.0;0
0.125;0.22;1.0;0.06666666666666667;0.03089143865842895;0.00909090909090909;0.0;0.0;0.027777777777777776;0.0;0.034482758620689655;0.0;0.0;0.0;0.0;0.0;0.027149095446038673;0.008948545861297539;0.0;0.0;0.0;0.0;0.014925373134328358;0.0;0.07692307692307693;0.0;1
0.75;0.34;1.0;0.06666666666666667;0.0856134157105031;0.06363636363636363;0.0;0.0;0.0;0.0625;0.0;0.0;0.09523809523809523;0.0;0.08333333333333333;0.0;0.05163651486795592;0.035794183445190156;0.015659955257270694;0.012903225806451613;0.0;0.0;0.029850746268656716;0.0;0.10256410256410256;0.0;0
1.0;0.01;1.0;0.06666666666666667;0.0264783759929391;0.01818181818181818;0.09090909090909091;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004200457475566645;0.006711409395973154;0.006711409395973154;0.0;0.0;0.0;0.0;0.0;0.0;0.027777777777777776;0
1.0;0.44;1.0;0.0;0.02471315092674316;0.00909090909090909;0.0;0.0;0.027777777777777776;0.0;0.0;0.0;0.023809523809523808;0.0;0.0;0.0;0.016610521938032856;0.0022371364653243847;0.0;0.0;0.0;0.0;0.0;0.0;0.05128205128205128;0.0;0
0.0;0.01;1.0;0.13333333333333336;0.04589585172109444;0.02727272727272727;0.0;0.0;0.0;0.0;0.0;0.0;0.09523809523809523;0.0;0.0;0.0;0.004691203992514037;0.008948545861297539;0.006711409395973154;0.0;0.0;0.0;0.0;0.0;0.0;0.05555555555555555;0
1.0;0.19999999999999998;0.0;0.33333333333333337;0.02030008826125331;0.00909090909090909;0.030303030303030304;0.0;0.0;0.0;0.0;0.0;0.023809523809523808;0.0;0.0;0.0;0.013266791432730298;0.006711409395973154;0.0022371364653243847;0.0;0.0;0.0;0.014925373134328358;0.0;0.02564102564102564;0.0;1
1.0;0.63;1.0;0.0;0.0264783759929391;0.00909090909090909;0.0;0.0;0.05555555555555555;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02491994177583697;0.0044742729306487695;0.0;0.0;0.0;0.0;0.007462686567164179;0.0;0.05128205128205128;0.0;0
0.375;0.01;1.0;0.0;0.05207413945278023;0.02727272727272727;0.0;0.0;0.0;0.0;0.034482758620689655;0.0;0.07142857142857142;0.0;0.0;0.0;0.04362653358286546;0.06040268456375839;0.058165548098434;0.0;0.0;0.0;0.0;0.0;0.0;0.05555555555555555;0
1.0;0.01;1.0;0.0;0.017652250661959402;0.0;0.0;0.0;0.0;0.0;0.034482758620689655;0.0;0.0;0.0;0.0;0.0;0.018282387190684132;0.006711409395973154;0.0;0.0;0.0;0.0;0.007462686567164179;0.0;0.05128205128205128;0.027777777777777776;0
0.125;0.30000000000000004;1.0;0.06666666666666667;0.017652250661959402;0.00909090909090909;0.030303030303030304;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.016610521938032856;0.0022371364653243847;0.0;0.0;0.0;0.0;0.0;0.0;0.05128205128205128;0.0;0
1.0;0.01;1.0;0.06666666666666667;0.01147396293027361;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.023809523809523808;0.0;0.0;0.0;0.010871283011021;0.006711409395973154;0.0;0.0;0.0;0.0;0.0;0.0;0.02564102564102564;0.05555555555555555;0
0.5;0.22999999999999998;1.0;0.06666666666666667;0.01323918799646955;0.00909090909090909;0.030303030303030304;0.0;0.0;0.020833333333333332;0.0;0.0;0.0;0.0;0.0;0.0;0.004591391141609482;0.006711409395973154;0.0;0.0;0.0;0.0;0.029850746268656716;0.0;0.0;0.0;0
1.0;0.32;1.0;0.06666666666666667;0.008826125330979701;0.0;0.030303030303030304;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002545227698066126;0.0022371364653243847;0.0;0.0;0.0;0.0;0.007462686567164179;0.0;0.0;0.027777777777777776;0
0.125;0.29000000000000004;1.0;0.06666666666666667;0.03971756398940865;0.02727272727272727;0.0;0.0;0.027777777777777776;0.041666666666666664;0.034482758620689655;0.0;0.0;0.0;0.0;0.0;0.026541900603035976;0.015659955257270694;0.0;0.0;0.0;0.0;0.04477611940298507;0.0;0.05128205128205128;0.0;1
1.0;0.43000000000000005;1.0;0.06666666666666667;0.18534863195057372;0.11818181818181817;0.0;0.0;0.38888888888888884;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1727843626533583;0.05592841163310962;0.020134228187919462;0.0;0.0;0.0;0.0;0.0;0.4358974358974359;0.0;0
0.125;0.46;1.0;0.13333333333333336;0.12797881729920565;0.02727272727272727;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.11985028072364315;0.01342281879194631;0.0;0.0;0.0;0.0;0.014925373134328358;0.2222222222222222;0.0;0.0;0
0.0;0.24;1.0;0.0;0.4368932038834952;0.40909090909090906;0.33333333333333337;0.0;0.16666666666666666;0.3958333333333333;0.3448275862068966;0.0;0.0;0.0;0.0;0.0;0.31755458515283846;0.5413870246085011;0.4809843400447427;0.0;0.0;0.06666666666666667;0.1791044776119403;0.0;0.02564102564102564;0.05555555555555555;0
0.875;0.47000000000000003;0.0;0.06666666666666667;0.0529567519858782;0.01818181818181818;0.0;0.0;0.0;0.0;0.034482758620689655;1.0;0.0;0.0;0.08333333333333333;0.0;0.03478477854023706;0.035794183445190156;0.0;0.0;0.0;0.0;0.11940298507462686;0.0;0.02564102564102564;0.0;1
0.125;0.34;1.0;0.06666666666666667;0.0264783759929391;0.00909090909090909;0.0;0.0;0.0;0.0;0.034482758620689655;1.0;0.0;0.0;0.0;0.0;0.02491994177583697;0.0044742729306487695;0.0;0.0;0.0;0.0;0.0;0.0;0.07692307692307693;0.0;1
1.0;0.01;1.0;0.06666666666666667;0.01323918799646955;0.0;0.0;0.0;0.027777777777777776;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0024703680598877104;0.0022371364653243847;0.0044742729306487695;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
1.0;0.25;1.0;0.13333333333333336;0.0441306266548985;0.045454545454545456;0.12121212121212122;0.0;0.0;0.041666666666666664;0.0;0.0;0.0;0.0;0.0;0.0;0.021825743397795798;0.029082774049217004;0.029082774049217;0.0;0.0;0.0;0.0;0.0;0.0;0.027777777777777776;0
0.25;0.22999999999999998;1.0;0.06666666666666667;0.008826125330979701;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.00793512164691204;0.008948545861297539;0.0;0.0;0.0;0.0;0.0;0.0;0.02564102564102564;0.0;1
1.0;0.01;0.0;0.13333333333333336;0.02268314210061783;0.01818181818181818;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01964649615304637;0.035794183445190156;0.03803131991051454;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
0.5;0.28;0.0;0.33333333333333337;0.04854368932038835;0.03636363636363636;0.030303030303030304;0.0;0.027777777777777776;0.041666666666666664;0.034482758620689655;0.0;0.0;0.0;0.0;0.0;0.04068205448118112;0.015659955257270694;0.008948545861297539;0.0;0.0;0.0;0.007462686567164179;0.0;0.07692307692307693;0.0;1
0.625;0.22999999999999998;1.0;0.06666666666666667;0.0044130626654898504;0.0;0.0;0.0;0.0;0.020833333333333332;0.0;0.0;0.0;0.0;0.0;0.0;0.009623622374714078;0.0022371364653243847;0.0;0.0;0.0;0.0;0.007462686567164179;0.0;0.02564102564102564;0.0;1
0.375;0.01;1.0;0.13333333333333336;0.10150044130626655;0.06363636363636363;0.09090909090909091;0.0;0.08333333333333333;0.0;0.06896551724137931;0.0;0.0;0.0;0.0;0.0;0.08302765647743812;0.03803131991051454;0.0044742729306487695;0.0;0.0;0.0;0.09701492537313433;0.1111111111111111;0.0;0.027777777777777776;0
0.125;0.32;1.0;0.06666666666666667;0.015887025595763462;0.00909090909090909;0.0;0.0;0.0;0.020833333333333332;0.0;0.0;0.023809523809523808;0.0;0.0;0.0;0.005423164899147432;0.008948545861297539;0.008948545861297539;0.0064516129032258064;0.0;0.0;0.0;0.0;0.0;0.0;0
0.5;0.30000000000000004;1.0;0.0;0.008826125330979701;0.0;0.030303030303030304;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.016627157413183612;0.0022371364653243847;0.0;0.0;0.0;0.0;0.0;0.0;0.02564102564102564;0.0;0
0.5;0.36000000000000004;0.0;0.2;0.03971756398940865;0.03636363636363636;0.030303030303030304;0.0;0.027777777777777776;0.041666666666666664;0.0;1.0;0.0;0.0;0.0;0.0;0.02819713038053649;0.017897091722595078;0.0;0.0;0.0;0.0;0.05223880597014925;0.0;0.05128205128205128;0.0;1
0.5;0.01;1.0;0.13333333333333336;0.0794351279788173;0.045454545454545456;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07473487211478477;0.029082774049217004;0.017897091722595078;0.0;0.0;0.06666666666666667;0.022388059701492536;0.0;0.05128205128205128;0.0;1
1.0;0.35000000000000003;1.0;0.0;0.0529567519858782;0.01818181818181818;0.0;0.0;0.0;0.0;0.10344827586206896;0.0;0.0;0.0;0.0;0.0;0.052351840299438554;0.008948545861297539;0.0;0.0;0.0;0.0;0.014925373134328358;0.16666666666666666;0.0;0.0;0
0.75;0.01;1.0;0.0;0.04854368932038835;0.01818181818181818;0.0;0.1111111111111111;0.027777777777777776;0.020833333333333332;0.0;0.0;0.0;0.0;0.0;0.0;0.008301102100228738;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02564102564102564;0.0;0
1.0;0.46;1.0;0.0;0.008826125330979701;0.0;0.030303030303030304;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.008301102100228738;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02564102564102564;0.0;1
1.0;0.01;0.6666666666666666;0.4;0.0617828773168579;0.00909090909090909;0.0;0.0;0.0;0.0;0.034482758620689655;0.0;0.0;0.09090909090909091;0.0;0.0;0.009540444998960283;0.0022371364653243847;0.0022371364653243847;0.0;0.0;0.0;0.0;0.0;0.02564102564102564;0.0;1
0.25;0.22;1.0;0.2;0.06619593998234775;0.06363636363636363;0.12121212121212122;0.0;0.0;0.0625;0.034482758620689655;0.0;0.0;0.0;0.0;0.0;0.052642961114576836;0.04697986577181208;0.017897091722595078;0.0064516129032258064;0.0;0.0;0.05970149253731343;0.0;0.07692307692307693;0.027777777777777776;1
