,0
Qnt_abandono,0.20701905
plan_type,0.11148367
sos_rec_5,0.101051174
clube,0.09499779
prezao_diario,0.049886737
prezao_semanal,0.0368063
chip_pre_rec_10,0.03282559
inter_avulsa,0.02767745
servicos_operadora,0.025462516
regional,0.024622966
sum_recharge,0.02440434
idade_cliente,0.022991482
prezao_mensal,0.0217157
recharge_frequency,0.021367542
rec_online_20_b2,0.02136274
sum_services,0.020429555
rec_online_15,0.020269625
services_frequency,0.020131882
rec_online_50_b8,0.018693712
rec_online_40_b6,0.01737686
entretenimento,0.01687943
rec_online_13,0.016211782
rec_online_30_b4,0.015842535
rec_online_10,0.015687432
rec_online_35_b5,0.014802124
pct_internet_mensal,0.0
